
Episode:463, Reward: -2978.030701
Episode:464, Reward: -3054.661962
Episode:465, Reward: -2997.791164
Episode:466, Reward: -3040.152541
Episode:467, Reward: -3097.306071
Episode:468, Reward: -3164.030239
Episode:469, Reward: -3161.534903
Episode:470, Reward: -3024.245841
Episode:471, Reward: -3146.379443
Episode:472, Reward: -3108.022957
Episode:473, Reward: -3191.380783
Episode:474, Reward: -3081.245697
Episode:475, Reward: -3166.062001
Episode:476, Reward: -3172.038516
Episode:477, Reward: -3124.165660
Episode:478, Reward: -3053.492433
Episode:479, Reward: -3093.708157
Episode:480, Reward: -3173.453553
Episode:481, Reward: -3208.797661
Episode:482, Reward: -3103.487142
Episode:483, Reward: -2990.736475
Episode:484, Reward: -3049.448971
Episode:485, Reward: -3200.394088
Episode:486, Reward: -3035.105181
Episode:487, Reward: -3061.339481
Episode:488, Reward: -3049.369419
Episode:489, Reward: -2951.739212
Episode:490, Reward: -2992.884171
Episode:491, Reward: -3106.307309
Episode:492, Reward: -3065.419879
Episode:493, Reward: -3005.945514
Episode:494, Reward: -3064.774552
Episode:495, Reward: -3169.604581
Episode:496, Reward: -3120.210408
Episode:497, Reward: -3098.813529
Episode:498, Reward: -3144.897380
Episode:499, Reward: -3069.608179
Episode:500, Reward: -3074.198465
Episode:501, Reward: -2999.853943
Episode:502, Reward: -2946.117026
Episode:503, Reward: -3082.329150
Episode:504, Reward: -3150.694243
Episode:505, Reward: -3065.979931
Episode:506, Reward: -3223.745235
Episode:507, Reward: -3182.446120
Episode:508, Reward: -3100.097947
Episode:509, Reward: -3087.692336
Episode:510, Reward: -3006.356565
Episode:511, Reward: -3102.194154
Episode:512, Reward: -3108.921234
Episode:513, Reward: -3176.482204
Episode:514, Reward: -3133.265598
Episode:515, Reward: -3002.077084
Episode:516, Reward: -3192.204539
Episode:517, Reward: -3085.702750
Episode:518, Reward: -3108.629224
Episode:519, Reward: -3021.153239
Episode:520, Reward: -3147.039673
Episode:521, Reward: -3128.032702
Episode:522, Reward: -3147.818209
Episode:523, Reward: -3137.550892
Episode:524, Reward: -3063.300273
Episode:525, Reward: -3024.227555
Episode:526, Reward: -3250.189516
Episode:527, Reward: -3278.248669
Episode:528, Reward: -3142.069102
Episode:529, Reward: -3036.807131
Episode:530, Reward: -3244.767840
Episode:531, Reward: -3043.318039
Episode:532, Reward: -3131.423618
Episode:533, Reward: -3125.777565
Episode:534, Reward: -3151.004677
Episode:535, Reward: -3064.639266
Episode:536, Reward: -3085.476841
Episode:537, Reward: -3115.290657
Episode:538, Reward: -3039.880540
Episode:539, Reward: -3057.087539
Episode:540, Reward: -3059.507919
Episode:541, Reward: -3086.716744
Episode:542, Reward: -3075.828717
Episode:543, Reward: -3042.142330
Episode:544, Reward: -3065.635248
Episode:545, Reward: -3297.654597
Episode:546, Reward: -3268.088672
Episode:547, Reward: -3179.716027
Episode:548, Reward: -3070.233424
Episode:549, Reward: -3061.733849
Episode:550, Reward: -3121.719027
Episode:551, Reward: -3072.316275
Episode:552, Reward: -3100.815765
Episode:553, Reward: -3080.689068
Episode:554, Reward: -3099.611262
Episode:555, Reward: -3055.137365
Episode:556, Reward: -3031.538071
Episode:557, Reward: -3035.758162
Episode:558, Reward: -3076.457679
Episode:559, Reward: -3105.025825
Episode:560, Reward: -3069.408828
Episode:561, Reward: -3216.904522
Episode:562, Reward: -3120.821372
Episode:563, Reward: -3131.462539
Episode:564, Reward: -3113.555127
Episode:565, Reward: -3101.922451
Episode:566, Reward: -3172.323712
Episode:567, Reward: -3071.980736
Episode:568, Reward: -3122.521417
Episode:569, Reward: -3205.145580
Episode:570, Reward: -3030.507720
Episode:571, Reward: -3026.792727
Episode:572, Reward: -2997.574181
Episode:573, Reward: -3126.392060
Episode:574, Reward: -3053.442584
Episode:575, Reward: -3091.747158
Episode:576, Reward: -3185.295021
Episode:577, Reward: -3041.460141
Episode:578, Reward: -3071.549006
Episode:579, Reward: -3159.650918
Episode:580, Reward: -3169.381765
Episode:581, Reward: -3230.371117
Episode:582, Reward: -3123.249219
Episode:583, Reward: -3139.339220
Episode:584, Reward: -3279.469642
Episode:585, Reward: -3108.110149
Episode:586, Reward: -3116.669385
Episode:587, Reward: -3090.677334
Episode:588, Reward: -3004.498537
Episode:589, Reward: -3051.519500
Episode:590, Reward: -3142.773216
Episode:591, Reward: -3140.282247
Episode:592, Reward: -3079.045130
Episode:593, Reward: -3087.250103
Episode:594, Reward: -3034.866914
Episode:595, Reward: -2974.979952
Episode:596, Reward: -3022.940025
Episode:597, Reward: -3103.956346
Episode:598, Reward: -3135.402799
Episode:599, Reward: -3164.067579
